frame,line_count,gpu_ms,cpu_ms
000001.jpg,0,98.0,216.7
000039.jpg,2,402.6,1738.1
000077.jpg,1,465.7,2104.8
000115.jpg,2,985.0,1424.2
000153.jpg,1,376.5,1559.8
000191.jpg,1,648.4,1532.8
000229.jpg,0,639.9,564.1
000267.jpg,1,583.2,1846.7
000305.jpg,54,1326.6,5522.8
000343.jpg,24,799.3,3777.4
000381.jpg,1,827.0,1930.0
000419.jpg,1,404.3,2207.0
000457.jpg,0,360.7,1052.4
000495.jpg,0,771.3,2108.1
000533.jpg,3,443.3,1161.8
000571.jpg,0,422.9,1138.2
000609.jpg,0,547.8,1502.0
000647.jpg,0,468.0,612.9
000685.jpg,1,461.6,783.5
000723.jpg,0,625.7,1495.3
000761.jpg,2,442.1,1395.6
000799.jpg,1,450.5,646.7
000837.jpg,0,621.3,590.8
000875.jpg,1,390.7,1232.2
000913.jpg,1,551.1,1204.3
